Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,35.000000,37.000000,32.099998,36.200001,33.839130,14667600
2013-11-04,36.799999,36.799999,34.689999,35.349998,33.044563,1586600
2013-11-05,35.110001,35.500000,34.820000,35.349998,33.044563,337700
2013-11-06,35.610001,36.490002,35.610001,35.900002,33.558697,549600
2013-11-07,36.799999,36.799999,34.119999,35.310001,33.007175,883700
2013-11-08,35.299999,35.459999,34.730000,34.950001,32.670654,488300
2013-11-11,35.349998,35.349998,33.919998,34.240002,32.006958,430500
2013-11-12,34.540001,34.540001,33.750000,33.990002,31.773262,331400
2013-11-13,33.500000,34.500000,33.049999,34.150002,31.922829,419500
2013-11-14,34.150002,34.250000,33.540001,33.650002,31.455437,586300
2013-11-15,33.750000,33.849998,33.330002,33.549999,31.361956,924200
2013-11-18,34.750000,38.320000,34.279999,37.639999,35.185219,669600
2013-11-19,37.779999,38.130001,34.950001,35.160000,32.866959,815300
2013-11-20,35.980000,35.980000,33.750000,34.139999,31.913479,417600
2013-11-21,34.950001,35.299999,34.279999,35.189999,32.895000,394400
2013-11-22,35.599998,37.599998,35.270000,37.360001,34.923481,434800
2013-11-25,38.389999,39.000000,37.900002,38.200001,35.708698,60200
2013-11-26,39.099998,40.299999,38.709999,40.060001,37.447392,789700
2013-11-27,41.139999,41.500000,40.349998,40.480000,37.840000,413600
2013-11-29,41.340000,41.700001,40.500000,40.689999,38.036304,169900
2013-12-02,41.599998,43.520000,41.279999,43.090000,40.279785,458500
2013-12-03,43.500000,43.689999,42.220001,43.130001,40.317177,355400
2013-12-04,43.830002,44.509998,41.480000,41.820000,39.092609,530100
2013-12-05,42.240002,43.459999,41.750000,43.200001,40.382610,325600
2013-12-06,44.490002,44.700001,42.310001,42.500000,39.728260,344400
2013-12-09,42.889999,43.209999,41.299999,41.650002,38.933697,271800
2013-12-10,41.639999,42.000000,39.480000,39.650002,37.064133,573400
2013-12-11,39.450001,39.450001,37.619999,38.279999,35.783478,551000
2013-12-12,38.000000,38.880001,37.849998,38.740002,36.213482,379500
2013-12-13,38.750000,39.570000,38.750000,39.360001,36.793045,418900
2013-12-16,40.009998,41.360001,39.529999,41.160000,38.475651,587300
2013-12-17,41.410000,42.430000,40.820000,42.400002,39.634785,612300
2013-12-18,42.799999,43.959999,42.520000,43.810001,40.952827,637700
2013-12-19,43.509998,43.599998,40.220001,40.250000,37.625000,1590400
2013-12-20,40.970001,42.410000,38.599998,41.279999,38.587826,3052400
2013-12-23,42.439999,43.349998,41.840000,42.880001,40.083481,729300
2013-12-24,43.200001,43.490002,42.959999,43.330002,40.504131,185300
2013-12-26,43.650002,43.650002,42.310001,42.740002,39.952610,365000
2013-12-27,43.709999,43.799999,43.049999,43.520000,40.681740,322100
2013-12-30,43.599998,46.279999,43.599998,45.980000,42.981304,569700
2013-12-31,46.290001,47.070000,45.599998,46.610001,43.570217,460800
2014-01-02,46.869999,46.869999,43.779999,43.779999,40.924782,798800
2014-01-03,44.790001,45.180000,41.779999,42.660000,39.877827,1247300
2014-01-06,44.669998,45.000000,42.759998,42.980000,40.176956,1101300
2014-01-07,43.840000,45.790001,43.119999,45.790001,42.803696,1677300
2014-01-08,41.230000,41.500000,38.689999,39.009998,36.465870,4940300
2014-01-09,40.349998,40.500000,36.500000,38.099998,35.615215,2168100
2014-01-10,38.470001,39.740002,38.099998,39.450001,36.877174,1114200
2014-01-13,40.480000,40.599998,39.000000,39.090000,36.540653,1224000
2014-01-14,39.599998,39.669998,37.599998,38.180000,35.690002,692600
2014-01-15,38.759998,39.820000,38.540001,39.400002,36.830437,570900
2014-01-16,39.900002,39.970001,38.029999,38.910000,36.372391,589000
2014-01-17,39.200001,39.400002,37.750000,38.380001,35.876957,408500
2014-01-21,38.990002,38.990002,38.099998,38.430000,35.923698,343400
2014-01-22,38.500000,38.669998,38.250000,38.430000,35.923698,251100
2014-01-23,38.740002,38.750000,37.750000,38.000000,35.521740,311400
2014-01-24,38.000000,38.400002,37.000000,37.950001,35.475002,570100
2014-01-27,38.060001,38.630001,37.500000,37.740002,35.278698,234600
2014-01-28,38.040001,38.189999,36.110001,36.490002,34.110218,489700
2014-01-29,36.139999,36.200001,34.230000,35.450001,33.138046,703400
2014-01-30,35.790001,37.000000,35.529999,36.820000,34.418697,430500
2014-01-31,36.150002,36.759998,35.509998,36.750000,34.353260,363200
2014-02-03,36.799999,37.400002,34.500000,36.139999,33.783043,785600
2014-02-04,36.150002,37.480000,36.070000,36.750000,34.353260,465500
2014-02-05,36.450001,36.500000,35.419998,35.759998,33.427826,358200
2014-02-06,35.770000,37.459999,35.490002,37.029999,34.614998,356700
2014-02-07,37.139999,38.790001,37.139999,38.419998,35.914349,605600
2014-02-10,38.599998,38.950001,37.680000,38.180000,35.690002,310200
2014-02-11,38.549999,39.480000,38.189999,39.150002,36.596741,426900
2014-02-12,39.220001,39.380001,37.250000,37.459999,35.016956,514600
2014-02-13,37.000000,37.000000,35.910000,36.430000,34.054131,663000
2014-02-14,37.820000,37.820000,36.650002,36.959999,34.549564,257800
2014-02-18,37.240002,37.830002,36.709999,36.889999,34.484131,248900
2014-02-19,36.900002,37.009998,35.509998,35.810001,33.474567,327200
2014-02-20,35.709999,36.150002,35.500000,35.650002,33.325001,296600
2014-02-21,35.509998,35.959999,35.040001,35.169998,32.876305,240900
2014-02-24,34.000000,34.480000,33.040001,34.110001,31.885435,1427100
2014-02-25,33.650002,33.980000,32.799999,33.310001,31.137611,544400
2014-02-26,33.689999,35.250000,33.320000,34.930000,32.651958,633500
2014-02-27,34.900002,36.099998,34.500000,35.970001,33.624130,315300
2014-02-28,36.009998,36.299999,35.410000,35.810001,33.474567,258800
2014-03-03,35.400002,36.250000,35.040001,35.380001,33.072609,236600
2014-03-04,35.740002,36.500000,35.290001,36.250000,33.885872,347700
2014-03-05,36.259998,36.549999,35.680000,36.049999,33.698914,151400
2014-03-06,36.750000,37.250000,35.570000,35.799999,33.465218,260700
2014-03-07,35.889999,35.889999,34.689999,34.860001,32.586521,281000
2014-03-10,34.660000,35.099998,34.080002,34.759998,32.493042,440600
2014-03-11,34.830002,34.900002,33.700001,34.099998,31.876085,551700
2014-03-12,33.799999,36.270000,33.500000,35.430000,33.119350,591900
2014-03-13,35.709999,35.980000,34.380001,35.080002,32.792175,424400
2014-03-14,34.689999,35.880001,34.689999,35.279999,32.979130,347200
2014-03-17,35.430000,35.680000,35.099998,35.410000,33.100651,159900
2014-03-18,35.490002,36.299999,35.180000,35.820000,33.483913,234200
2014-03-19,35.840000,36.000000,34.820000,34.980000,32.698696,157400
2014-03-20,34.939999,35.680000,34.500000,35.560001,33.240871,211200
2014-03-21,35.639999,35.900002,34.169998,34.470001,32.221958,1063800
2014-03-24,34.500000,34.810001,33.200001,33.860001,31.651741,458000
2014-03-25,34.240002,34.259998,32.889999,33.070000,30.913261,1081000
2014-03-26,33.130001,33.470001,31.639999,32.080002,29.987829,711800
2014-03-27,31.920000,32.009998,31.010000,31.969999,29.885000,479600
2014-03-28,32.000000,33.000000,31.660000,32.680000,30.548697,397700
2014-03-31,32.680000,34.500000,32.310001,33.950001,31.735870,535400
2014-04-01,33.959999,35.389999,33.650002,34.720001,32.455654,407800
2014-04-02,34.900002,36.490002,34.439999,36.290001,33.923264,401600
2014-04-03,36.410000,36.790001,34.779999,35.410000,33.100651,690100
2014-04-04,35.660000,35.660000,34.240002,34.549999,32.296738,429400
2014-04-07,34.299999,34.500000,33.459999,34.029999,31.810652,320300
2014-04-08,33.950001,34.160000,32.430000,33.209999,31.044130,665000
2014-04-09,33.220001,33.500000,32.169998,32.799999,30.660870,340000
2014-04-10,32.759998,32.980000,31.170000,31.850000,29.772827,645000
2014-04-11,31.200001,31.830000,30.250000,31.250000,29.211958,485100
2014-04-14,31.590000,31.700001,30.139999,30.990000,28.968914,659800
2014-04-15,31.000000,31.750000,29.360001,30.900000,28.884783,582700
2014-04-16,31.010000,31.580000,30.700001,31.020000,28.996958,223700
2014-04-17,31.049999,31.740000,30.860001,31.610001,29.548479,288000
2014-04-21,31.809999,32.680000,31.500000,31.500000,29.445652,301700
2014-04-22,31.480000,31.709999,31.000000,31.440001,29.389566,395700
2014-04-23,31.250000,32.049999,31.059999,31.160000,29.127827,441200
2014-04-24,31.389999,31.420000,30.070000,30.670000,28.669783,405900
2014-04-25,30.500000,30.559999,29.660000,29.900000,27.950001,470600
2014-04-28,30.000000,30.139999,29.000000,29.870001,27.921957,967800
2014-04-29,27.080000,29.629999,26.139999,28.500000,26.641304,2204300
2014-04-30,28.370001,28.959999,27.500000,27.590000,25.790653,639000
2014-05-01,27.680000,28.040001,27.219999,27.790001,25.977610,370100
2014-05-02,27.820000,29.000000,27.809999,28.860001,26.977827,349600
2014-05-05,28.650000,28.799999,27.790001,27.900000,26.080435,397200
2014-05-06,27.799999,27.980000,26.570000,26.629999,24.893261,576000
2014-05-07,26.610001,26.770000,25.500000,25.969999,24.276304,579200
2014-05-08,25.790001,26.820000,25.559999,25.790001,24.108046,713300
2014-05-09,25.700001,26.090000,25.700001,25.950001,24.257610,315500
2014-05-12,26.180000,27.690001,26.180000,27.500000,25.706522,533500
2014-05-13,27.400000,27.879999,26.980000,27.250000,25.472826,496000
2014-05-14,27.070000,27.500000,26.700001,26.920000,25.164349,301700
2014-05-15,26.760000,27.230000,26.270000,27.139999,25.369999,316900
2014-05-16,27.040001,27.379999,26.610001,27.340000,25.556957,250100
2014-05-19,27.100000,27.440001,26.719999,26.750000,25.005436,268900
2014-05-20,26.520000,26.600000,25.440001,26.000000,24.304348,382200
2014-05-21,26.020000,26.129999,25.180000,25.389999,23.734131,349900
2014-05-22,25.330000,26.370001,25.160000,26.160000,24.453913,231400
2014-05-23,26.270000,28.340000,26.170000,27.299999,25.519566,509100
2014-05-27,27.950001,28.490000,27.500000,27.590000,25.790653,385300
2014-05-28,27.629999,27.780001,26.820000,26.870001,25.117609,290000
2014-05-29,27.059999,28.250000,26.799999,28.090000,26.258043,285800
2014-05-30,28.000000,28.990000,27.820000,28.660000,26.790871,415800
2014-06-02,28.750000,28.990000,26.870001,26.950001,25.192392,350300
2014-06-03,26.770000,27.930000,26.500000,27.570000,25.771957,366100
2014-06-04,27.549999,27.549999,26.799999,26.820000,25.070869,248400
2014-06-05,27.049999,27.309999,26.260000,26.900000,25.145653,250900
2014-06-06,27.139999,27.870001,26.900000,27.510000,25.715870,273800
2014-06-09,27.500000,27.850000,27.350000,27.500000,25.706522,287800
2014-06-10,27.290001,27.440001,26.860001,27.370001,25.585001,352700
2014-06-11,27.150000,27.620001,27.150000,27.570000,25.771957,91600
2014-06-12,27.520000,28.379999,27.370001,27.990000,26.164566,306100
2014-06-13,27.990000,28.120001,27.299999,27.730000,25.921522,197800
2014-06-16,27.900000,28.690001,27.750000,28.520000,26.660002,276100
2014-06-17,28.520000,29.620001,28.219999,29.340000,27.426523,303000
2014-06-18,29.719999,30.389999,29.360001,29.690001,27.753696,353400
2014-06-19,29.850000,30.680000,29.510000,29.959999,28.006086,226000
2014-06-20,29.860001,30.150000,28.799999,29.980000,28.024782,571600
2014-06-23,30.200001,30.350000,29.190001,29.440001,27.520000,292500
2014-06-24,29.639999,29.860001,28.820000,28.900000,27.015217,195500
2014-06-25,29.719999,29.900000,29.000000,29.180000,27.276957,202400
2014-06-26,29.709999,29.709999,29.100000,29.410000,27.491957,152900
2014-06-27,29.370001,30.379999,29.000000,29.000000,27.108696,776900
2014-06-30,29.120001,29.160000,27.530001,27.780001,25.968262,444200
2014-07-01,27.830000,28.090000,27.170000,27.660000,25.856087,613300
2014-07-02,28.000000,29.389999,27.110001,27.250000,25.472826,675300
